Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
0.12,6.175292,11.19985,0.02178548,-8.882937E-14,-2.264247E-37,-7.946305E-15
0.22,6.294902,11.19947,0.04229039,-3.274275E-13,-4.036154E-37,-3.112809E-14
0.32,6.414403,11.19885,0.06154319,-7.310054E-13,1.600969E-36,-3.775105E-14
0.42,6.533793,11.19801,0.07961557,-1.277969E-12,-5.631727E-36,-4.697137E-14
0.52,6.653072,11.19694,0.09655941,-1.968483E-12,3.391036E-36,-5.876891E-14
0.6199999,6.772238,11.19565,0.1124286,-2.802742E-12,1.852824E-35,-7.314605E-14
0.7199998,6.891288,11.19415,0.1272709,-3.780918E-12,-1.294307E-34,-9.010276E-14
0.8199998,7.010221,11.19245,0.1411332,-4.903153E-12,1.608199E-35,-1.096617E-13
0.9199997,7.129034,11.19055,0.1540589,-6.169612E-12,-3.430436E-34,-1.318801E-13
1.02,7.247724,11.18846,0.1660885,-7.580545E-12,5.132971E-35,-1.56727E-13
1.12,7.366288,11.18617,0.1772599,-9.136147E-12,5.056651E-34,-1.843891E-13
1.219999,7.484724,11.1837,0.187608,-1.083652E-11,5.79239E-34,-2.148714E-13
1.319999,7.603027,11.18106,0.197167,-1.268196E-11,-2.116965E-35,-2.482265E-13
1.419999,7.721195,11.17824,0.2059682,-1.467268E-11,-1.217707E-33,-2.845107E-13
1.519999,7.839223,11.17527,0.2140415,-1.680888E-11,-2.515777E-33,-3.238083E-13
1.619999,7.957108,11.17214,0.2214141,-1.909082E-11,-2.375341E-33,-3.66207E-13
1.719999,8.074844,11.16886,0.228113,-2.151877E-11,-1.031263E-33,-4.118119E-13
1.819999,8.192429,11.16543,0.2341615,-2.409289E-11,-1.335252E-33,-4.607081E-13
1.919999,8.309855,11.16187,0.2395851,-2.681359E-11,3.858058E-33,-5.130302E-13
2.019999,8.427119,11.15819,0.244406,-2.968109E-11,-2.729307E-33,-5.688583E-13
2.119999,8.544216,11.15438,0.2486436,-3.269577E-11,-8.341562E-34,-6.282866E-13
2.219999,8.661139,11.15045,0.2523184,-3.585791E-11,2.413329E-33,-6.91476E-13
2.319999,8.777884,11.14641,0.2554502,-3.916783E-11,-1.01816E-32,-7.585176E-13
2.419998,8.894442,11.14227,0.2580572,-4.262589E-11,-5.838983E-33,-8.295424E-13
2.519998,9.010809,11.13804,0.2601543,-4.623247E-11,-4.833098E-33,-9.046442E-13
2.619998,9.126979,11.13372,0.2617606,-4.998802E-11,-9.133069E-33,-9.839615E-13
2.719998,9.242942,11.12933,0.2628888,-5.389289E-11,-1.661862E-32,-1.067593E-12
2.819998,9.358694,11.12485,0.2635566,-5.794756E-11,6.948168E-33,-1.155703E-12
2.919998,9.474227,11.12032,0.263775,-6.21524E-11,6.077721E-33,-1.248341E-12
3.019998,9.589534,11.11572,0.2635598,-6.650798E-11,-4.047884E-32,-1.345658E-12
3.119998,9.704605,11.11108,0.2629237,-7.101471E-11,9.806391E-33,-1.447772E-12
3.219998,9.819433,11.10639,0.2618791,-7.567337E-11,-1.453257E-32,-1.554754E-12
3.319998,9.934012,11.10167,0.2604358,-8.048421E-11,2.499189E-32,-1.666725E-12
3.419997,10.04833,11.09692,0.2586077,-8.544793E-11,-3.370557E-32,-1.783816E-12
3.519997,10.16238,11.09216,0.2564059,-9.05649E-11,-2.525223E-32,-1.906045E-12
3.619997,10.27616,11.08738,0.2538375,-9.583596E-11,-8.495639E-33,-2.033545E-12
3.719997,10.38965,11.0826,0.2509157,-1.012617E-10,-4.605617E-32,-2.166406E-12
3.819997,10.50285,11.07782,0.24765,-1.068427E-10,2.470733E-32,-2.30467E-12
3.919997,10.61574,11.07305,0.2440488,-1.125795E-10,-4.635937E-32,-2.448407E-12
4.019997,10.72832,11.06831,0.2401209,-1.18473E-10,-0.01255346,-2.597654E-12
4.119997,10.71372,11.06715,-0.09218521,-1.205114E-10,-0.06466141,1.246736E-12
4.219997,10.69654,11.0689,-0.2043851,-1.229895E-10,-0.08022314,6.021671E-12
4.319997,10.67848,11.07163,-0.2242336,-1.241663E-10,-0.06740843,1.071509E-11
4.419997,10.66011,11.07472,-0.2119256,-1.239062E-10,-0.04116086,1.539169E-11
4.519997,10.64159,11.078,-0.190999,-1.224725E-10,-0.01133769,1.932897E-11
4.619997,10.62294,11.08141,-0.1689464,-1.19936E-10,0.01716555,2.326316E-11
4.719996,10.60423,11.0849,-0.1474311,-1.163603E-10,0.04231942,2.680505E-11
4.819996,10.58549,11.08841,-0.1264563,-1.120274E-10,0.06341533,3.017025E-11
4.919996,10.56679,11.09188,-0.1057697,-1.070363E-10,0.08025602,3.342414E-11
5.019996,10.54819,11.09523,-0.08521277,-1.013276E-10,0.09280991,3.61213E-11
5.119996,10.52976,11.09837,-0.06473672,-9.504447E-11,0.1010902,3.861651E-11
5.219996,10.51156,11.10124,-0.04436534,-8.835226E-11,0.1051234
