Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
0.32,0.3751784,11.19825,1.674415,1.050848E-15,-5.153724E-40,1.733874E-15
0.42,0.5002577,11.19693,1.673602,5.377269E-15,3.764728E-40,5.871651E-16
0.52,0.6253542,11.19525,1.672516,7.552799E-15,4.130846E-40,5.755106E-16
0.6199999,0.7504723,11.19321,1.671143,-5.016325E-15,1.807543E-38,2.48717E-14
0.7199998,0.8756163,11.1908,1.669477,-1.900661E-14,6.054574E-37,6.634664E-14
0.8199998,1.00079,11.18803,1.667535,3.585644E-14,2.348009E-37,3.589497E-14
0.9199997,1.125999,11.1849,1.665277,5.797662E-14,1.344672E-39,3.577907E-14
1.02,1.251246,11.18141,1.662722,8.017367E-14,-6.349554E-37,3.566861E-14
1.12,1.376536,11.17756,1.65987,1.023485E-13,6.024384E-37,3.556174E-14
1.219999,1.501873,11.17334,1.656727,1.245845E-13,-4.970435E-38,3.546311E-14
1.319999,1.627259,11.16878,1.653301,1.467835E-13,1.747077E-39,3.536865E-14
1.419999,1.752701,11.16386,1.649603,1.690294E-13,1.948532E-36,3.528716E-14
1.519999,1.8782,11.15859,1.645641,1.912836E-13,-3.594329E-37,3.52147E-14
1.619999,2.003762,11.15296,1.641425,2.136426E-13,-1.805556E-36,3.515388E-14
1.719999,2.129388,11.14699,1.636965,2.359919E-13,-5.219561E-37,3.510946E-14
1.819999,2.255083,11.14067,1.632274,2.583125E-13,-4.25344E-37,3.50819E-14
1.919999,2.380851,11.134,1.627359,2.806709E-13,-8.892342E-37,3.506887E-14
2.019999,2.506692,11.12699,1.622232,3.031245E-13,2.847563E-37,3.508097E-14
2.119999,2.632612,11.11964,1.616899,3.25598E-13,9.272961E-37,3.511865E-14
2.219999,2.758614,11.11196,1.611366,3.480879E-13,-3.188122E-36,3.518768E-14
2.319999,2.884699,11.10394,1.605639,3.705514E-13,4.183619E-36,3.527284E-14
2.419998,3.01087,11.09558,1.599726,3.931877E-13,-4.434185E-37,3.539232E-14
2.519998,3.13713,11.0869,1.593626,4.157584E-13,-4.268061E-36,3.553592E-14
2.619998,3.263481,11.07789,1.587347,4.383672E-13,5.134673E-36,3.569976E-14
2.719998,3.389925,11.06856,1.580887,4.609717E-13,-5.350224E-36,3.590135E-14
2.819998,3.516464,11.05891,1.574252,4.83689E-13,-2.261515E-37,3.614976E-14
2.919998,3.643099,11.04894,1.567439,5.06332E-13,-1.003997E-36,3.642673E-14
3.019998,3.769832,11.03866,1.560452,5.289765E-13,2.902533E-36,3.676177E-14
3.119998,3.896665,11.02807,1.55329,5.516817E-13,1.012609E-36,3.713279E-14
3.219998,4.023598,11.01717,1.545954,5.742565E-13,7.797464E-36,3.754132E-14
3.319998,4.150631,11.00598,1.538443,5.969052E-13,5.56633E-36,3.80008E-14
3.419997,4.277768,10.99449,1.530759,6.196398E-13,-7.261612E-36,3.849628E-14
3.519997,4.405007,10.9827,1.5229,6.423295E-13,1.05787E-35,3.903615E-14
3.619997,4.532348,10.97063,1.514868,6.653593E-13,5.705227E-36,3.96432E-14
3.719997,4.659792,10.95827,1.506665,6.882308E-13,5.414178E-36,4.028596E-14
3.819997,4.787338,10.94564,1.498289,7.111039E-13,8.075084E-36,4.098605E-14
3.919997,4.895986,10.92983,3.163081,7.232448E-13,-0.05603573,4.071547E-14
4.019997,4.999879,10.86523,9.695046,7.693985E-13,-0.2736031,3.620818E-12
4.119997,5.195277,10.74894,14.35709,-1.513597E-12,-0.7805191,2.116825E-12
4.219997,5.460465,10.58586,17.57031,-6.185851E-12,-1.764618,1.34359E-12
4.319997,5.775954,10.38061,19.17838,-4.338101E-12,-3.311189,1.89766E-11
4.419997,6.12655,10.1387,19.22899,-2.777695E-11,-5.399309,1.661698E-11
4.519997,6.501559,9.86637,17.91317,-4.743007E-11,-7.911169,2.953794E-11
4.619997,6.892348,9.57054,15.51244,-4.394581E-11,-10.65032,1.601701E-11
4.719996,7.289538,9.258963,12.35614,-5.620569E-11,-13.36897,-1.847109E-11
4.819996,7.681675,8.94041,8.785466,-6.092186E-11,-15.80141,1.038362E-11
4.919996,8.059505,8.621713,5.680139,-6.815937E-11,-17.73138,-3.116971E-12
5.019996,8.428768,8.297198,3.802284,-6.187473E-11,-19.15877,7.863795E-12
5.119996,8.79511,7.96154,2.627143,-7.892469E-11,-20.18606,1.37832E-11
5.219996,9.160414,7.612943,1.817386,-8.558231E-11,-20.91893,1.552457E-11
5.319996,9.524549,7.251523,1.191389,-8.981487E-11,-21.43962,1.568068E-11
5.419996,9.88661,6.878261,0.6634408,-9.403142E-11,-21.80281,1.660042E-11
5.519996,10.24552,6.494446,0.1982699,-9.635006E-11,-22.0413,1.828018E-11
5.619996,10.60029,6.101461,-0.2172504,-9.549316E-11,-22.1739,1.948938E-11
5.719995,10.95001,5.700714,-0.5886113,-9.470476E-11,-22.21179,2.232662E-11
5.819995,11.29385,5.293654,-0.9196367,-9.048724E-11,-22.16244,2.512553E-11
5.919995,11.63105,4.881787,-1.214257,-8.604808E-11,-22.03184,2.769333E-11
6.019995,11.96084,4.466689,-1.476538,-8.079606E-11,-21.82531,2.99132E-11
6.119995,12.2825,4.050004,-1.710407,-7.624873E-11,-21.54786,3.291203E-11
6.219995,12.59531,3.633438,-1.919402,-7.106494E-11,-21.20424,3.526818E-11
6.319995,12.89859,3.218739,-2.106656,-6.582412E-11,-20.79907,3.770712E-11
6.419995,13.19169,2.807691,-2.274864,-6.038362E-11,-20.33675,4.069901E-11
6.519995,13.47398,2.402091,-2.426353,-5.182607E-11,-19.8216,3.619849E-11
6.619995,13.74488,2.003736,-2.563146,-4.765017E-11,-19.25784,5.175625E-11
6.719995,14.00383,1.614401,-2.686936,-4.285486E-11,-18.64957,4.828604E-11
