Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
0.12,0.125054,10.19978,1.67528,-8.95482E-14,-5.274504E-38,-2.500373E-15
0.22,0.250112,10.1992,1.674972,-3.279549E-13,-1.922795E-37,-8.914057E-15
0.32,0.3751784,10.19825,1.674411,-7.154479E-13,5.221307E-36,-2.031506E-14
0.42,0.5002577,10.19693,1.673596,-1.253863E-12,6.279233E-36,-3.280252E-14
0.52,0.6253542,10.19525,1.672505,-1.931597E-12,-1.717498E-35,-5.598804E-14
0.6199999,0.7504723,10.19321,1.67112,-2.76704E-12,-1.35655E-35,-7.926032E-14
0.7199998,0.8756163,10.1908,1.669443,-3.749102E-12,7.048903E-36,-1.082811E-13
0.8199998,1.00079,10.18803,1.66749,-4.895216E-12,-1.621831E-34,-1.183703E-13
0.9199997,1.125999,10.1849,1.665217,-6.170847E-12,1.607292E-34,-1.542417E-13
1.02,1.251246,10.18141,1.662646,-7.596155E-12,-6.344895E-34,-1.944088E-13
1.12,1.376536,10.17756,1.659776,-9.171301E-12,-3.787391E-34,-2.389077E-13
1.219999,1.501873,10.17334,1.656616,-1.089633E-11,-5.339286E-34,-2.879534E-13
1.319999,1.627259,10.16878,1.653174,-1.277145E-11,1.249687E-34,-3.416207E-13
1.419999,1.752701,10.16386,1.64946,-1.479682E-11,-1.988905E-33,-4.001214E-13
1.519999,1.8782,10.15858,1.645483,-1.697254E-11,9.469183E-34,-4.636627E-13
1.619999,2.003761,10.15295,1.641255,-1.929888E-11,-1.512795E-33,-5.324564E-13
1.719999,2.129387,10.14697,1.636785,-2.177611E-11,-5.464123E-33,-6.067692E-13
1.819999,2.255083,10.14065,1.632084,-2.440438E-11,-2.502166E-33,-6.868944E-13
1.919999,2.38085,10.13398,1.627164,1.959392E-08,2.386516E-27,-7.647503E-10
2.019999,2.506692,10.12696,1.622034,1.956707E-08,5.369634E-28,-7.45755E-10
2.119999,2.632612,10.11961,1.6167,1.95404E-08,2.239982E-27,-7.249557E-10
2.219999,2.758613,10.11192,1.611169,1.951384E-08,3.131222E-27,-7.023535E-10
