Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
0.12,2.712259,10.40373,14.67183,3.071278,-1.965339E-10,0.688719
0.22,2.709869,10.63824,15.06752,4.384332,-3.378583E-10,1.247702
0.32,2.559151,10.74528,17.43482,4.343322,-2.359585E-10,1.81275
0.42,2.411484,10.82233,18.54484,4.353288,-5.126731E-11,2.379956
0.52,2.266724,10.89906,19.77173,4.406929,-2.072555E-12,2.951424
0.6199999,2.125044,10.97546,21.1382,4.50367,-2.670575E-11,3.526581
0.7199998,1.986647,11.05152,22.67115,4.643483,5.573061E-10,4.104961
0.8199998,1.851772,11.12724,24.40292,4.826519,4.877138E-10,4.686047
0.9199997,1.720717,11.20262,26.37287,5.053515,4.448601E-10,5.269454
1.02,1.593853,11.27763,28.6293,5.325435,1.190797E-09,5.854856
1.12,1.471656,11.35229,31.23158,5.643479,-3.545309E-10,6.441842
1.219999,1.354735,11.42659,34.25266,6.008551,8.199011E-10,7.030086
1.319999,1.243878,11.50053,37.78131,6.420805,1.355646E-09,7.619202
1.419999,1.1401,11.57409,41.92335,6.878296,-7.432658E-10,8.208866
1.519999,1.04471,11.64729,46.79992,7.375051,8.245636E-10,8.798778
1.619999,0.9593607,11.72012,52.53973,7.898585,-8.630066E-10,9.38855
1.719999,0.8860906,11.79257,59.2607,8.426867,-7.838843E-10,9.977885
1.819999,0.8273131,11.86465,67.03824,8.926915,1.593639E-09,10.56638
1.919999,0.7857525,11.93633,75.86501,9.358611,-1.985489E-09,11.15366
2.019999,0.7644137,12.00762,85.62341,9.686113,-1.29733E-09,11.73936
2.119999,0.7643838,12.0785,-84.05277,9.370808,7.634272E-10,12.32299
2.219999,0.7843407,12.14909,-74.3043,8.150417,-1.463373E-09,12.90424
2.319999,0.8245502,12.21938,-65.46461,6.870686,6.631805E-10,13.48262
2.419998,0.8822508,12.28938,-57.64796,5.598596,5.396038E-11,14.0578
2.519998,0.9548101,12.35908,-50.86655,4.378586,-2.339063E-10,14.62946
2.619998,1.039807,12.42849,-45.04996,3.230406,2.218337E-11,15.19724
2.719998,1.135148,12.49762,-40.08305,2.154941,-7.893149E-09,15.76084
2.819998,1.239109,12.56648,-35.83784,1.142136,2.216833E-09,16.32001
