Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
0.12,0.1229433,11.19983,1.475993,-9.674896E-14,1.250986E-37,-5.088683E-15
0.22,0.248,11.19929,1.576064,-3.425662E-13,2.403852E-36,-1.768038E-14
0.32,0.3730646,11.19839,1.60861,-7.492621E-13,-3.120352E-36,-2.117709E-14
0.42,0.4981414,11.19712,1.624282,-1.298125E-12,2.122463E-35,-3.622715E-14
0.52,0.6232349,11.19549,1.633078,-1.988419E-12,-1.340335E-35,-6.660261E-14
0.6199999,0.7483492,11.1935,1.638289,-2.845228E-12,-5.840848E-35,-8.714119E-14
0.7199998,0.8734887,11.19114,1.641328,-3.892352E-12,-7.104481E-36,-5.123629E-14
0.8199998,0.9986577,11.18842,1.642921,-5.019608E-12,4.679901E-35,-8.415451E-14
0.9199997,1.123861,11.18533,1.64341,-6.29995E-12,1.768525E-34,-1.195264E-13
1.02,1.249101,11.18189,1.643057,-7.729929E-12,1.999012E-34,-1.592105E-13
1.12,1.374384,11.17809,1.642009,-9.309706E-12,-2.087893E-34,-2.032786E-13
1.219999,1.499712,11.17393,1.640371,-1.103939E-11,-7.842857E-35,-2.518295E-13
1.319999,1.625091,11.16942,1.638221,-1.291909E-11,-9.382607E-34,-3.050568E-13
1.419999,1.750523,11.16455,1.635617,-1.494902E-11,-3.500351E-34,-3.631108E-13
1.519999,1.876013,11.15932,1.632604,-1.712932E-11,5.000381E-34,-4.262168E-13
1.619999,2.001564,11.15374,1.629222,-1.946016E-11,-2.086804E-33,-4.945889E-13
1.719999,2.127179,11.14781,1.625501,-2.194175E-11,1.058393E-33,-5.684731E-13
1.819999,2.252862,11.14153,1.621468,-2.457444E-11,-1.450243E-33,-6.481744E-13
1.919999,2.378617,11.13491,1.617146,-2.73583E-11,4.534576E-33,-7.340003E-13
2.019999,2.504445,11.12794,1.612552,-3.029393E-11,4.134696E-33,-8.263216E-13
2.119999,2.630352,11.12064,1.607704,-3.338129E-11,5.107087E-33,-9.254807E-13
2.219999,2.756339,11.11299,1.602615,-3.662108E-11,6.386686E-33,-1.031938E-12
2.319999,2.882409,11.10501,1.597298,-4.00135E-11,-1.786212E-32,-1.146056E-12
2.419998,3.008564,11.0967,1.591759,-4.355895E-11,3.928958E-33,-1.268356E-12
2.519998,3.134808,11.08806,1.586009,-4.725804E-11,-1.4539E-32,-1.399277E-12
2.619998,3.261142,11.0791,1.580053,-5.111129E-11,4.154535E-33,-1.539306E-12
2.719998,3.387568,11.06981,1.573895,-5.511917E-11,1.68158E-32,-1.688959E-12
2.819998,3.514089,11.0602,1.56754,-5.928234E-11,1.551023E-32,-1.848728E-12
2.919998,3.640705,11.05027,1.560989,-6.36014E-11,4.662764E-33,-2.019184E-12
3.019998,3.76742,11.04004,1.554247,-6.807713E-11,-1.485705E-32,-2.20086E-12
3.119998,3.894233,11.02949,1.547315,-7.271019E-11,-1.023548E-32,-2.394335E-12
3.219998,4.021145,11.01864,1.540195,-7.750144E-11,-3.721337E-32,-2.600166E-12
3.319998,4.148158,11.00749,1.532887,-8.245181E-11,8.01887E-32,-2.818976E-12
3.419997,4.275273,10.99604,1.525396,-8.756233E-11,-2.686764E-32,-3.051357E-12
3.519997,4.40249,10.98429,1.51772,-9.283387E-11,7.283121E-32,-3.2979E-12
3.619997,4.529809,10.97226,1.509861,-9.826742E-11,-1.618296E-31,-3.559221E-12
3.719997,4.657229,10.95995,1.501821,-1.038643E-10,1.003981E-31,-3.835974E-12
3.819997,4.784751,10.94735,1.493599,-1.096255E-10,4.564642E-32,-4.128841E-12
3.919997,4.912375,10.93449,1.485199,-1.155528E-10,-0.02806439,-4.438449E-12
4.019997,4.993263,10.88182,8.552565,-1.168279E-10,-0.2165547,-3.831779E-12
4.119997,5.170587,10.7758,13.39136,-1.14794E-10,-0.6567733,-2.294511E-12
4.219997,5.421162,10.62258,16.85164,-1.044465E-10,-1.551525,3.240988E-12
4.319997,5.725448,10.42657,18.73304,-1.143158E-10,-3.004173,2.955116E-12
4.419997,6.067546,10.19312,19.05119,-1.200128E-10,-5.007252,1.845174E-11
4.519997,6.436043,9.928346,17.97662,-1.090393E-10,-7.453277,4.530536E-11
4.619997,6.821985,9.639054,15.77887,-1.073323E-10,-10.15337,1.916405E-11
4.719996,7.216116,9.332794,12.78104,-1.116779E-10,-12.86463,2.852635E-11
4.819996,7.607302,9.018044,9.321856,-1.106516E-10,-15.32357,2.89286E-11
4.919996,7.984958,8.702613,6.097777,-1.087514E-10,-17.29952,2.617204E-11
5.019996,8.352901,8.382473,4.103164,-1.065449E-10,-18.76647,3.331035E-11
5.119996,8.717242,8.051867,2.857119,-1.119751E-10,-19.82593,1.381371E-11
5.219996,9.080221,7.708704,2.004198,-1.129594E-10,-20.5857,2.310748E-11
5.319996,9.441936,7.352921,1.350624,-1.292819E-10,-21.13019,2.760121E-11
5.419996,9.801602,6.985379,0.8035803,-1.235323E-10,-21.51553,2.374387E-11
5.519996,10.15889,6.60623,0.7924088,-1.210318E-10,-21.45414,3.693732E-11
5.619996,10.5111,6.218297,1.834382,-7.446783E-11,-19.63334,2.854926E-11
5.719995,10.84046,5.843539,2.567355,-5.470061E-11,-16.96259,3.625159E-11
5.819995,11.1304,5.504475,1.365265,-4.653108E-11,-15.54573,5.053671E-11
5.919995,11.38584,5.195825,0.07172385,-1.515927E-11,-15.21989,4.65915E-11
6.019995,11.62104,4.903092,-0.7401297,6.460053E-12,-15.1278,4.653101E-11
6.119995,11.8444,4.618001,-1.182986,2.500476E-11,-15.0041,4.436114E-11
6.219995,12.05932,4.337481,-1.43627,3.915353E-11,-14.80139,4.484735E-11
6.319995,12.26666,4.0612,-1.609228,5.288105E-11,-14.52979,4.261267E-11
6.419995,12.46746,3.787708,-0.7293533,6.231198E-11,-13.31269,3.85035E-11
6.519995,12.65304,3.532835,0.4957794,6.840284E-11,-10.18476,4.108595E-11
6.619995,12.79747,3.330755,-0.5749167,6.378079E-11,-8.782122,3.422044E-11
6.719995,12.90847,3.16742,-1.484011,4.808164E-11,-8.272491,4.018859E-11
6.819994,13.00066,3.025796,-1.92023,3.988735E-11,-7.88829,3.581386E-11
6.919994,13.08095,2.898314,-2.094001,3.010098E-11,-7.465775,4.02133E-11
7.019994,13.15159,2.78274,-2.166223,2.230118E-11,-6.999542,3.65778E-11
7.119994,13.21308,2.678839,-2.206473,1.463609E-11,-6.506117,4.229247E-11
7.219994,13.26536,2.586887,-2.236782,9.010576E-12,-5.996515,4.350533E-11
7.319994,13.30835,2.507204,-2.262078,1.477742E-12,-5.476056,4.181832E-11
7.419994,13.34195,2.440036,-2.282809,6.084742E-13,-4.947415,4.175995E-11
7.519994,13.36614,2.385557,-2.29875,-4.275474E-12,-4.412384,4.423283E-11
7.619994,13.38089,2.343869,-2.309769,-3.783942E-12,-3.872521,4.958305E-11
7.719994,13.38623,2.315007,-2.315844,-2.476272E-12,-3.329343,4.94078E-11
7.819993,13.3822,2.298944,-2.317004,-2.882049E-12,-2.784353,4.566272E-11
7.919993,13.36888,2.295592,-2.313277,-1.626986E-12,-2.239043,4.580074E-11
8.019994,13.34636,2.304799,-2.304677,-4.529827E-12,-1.694882,5.401496E-11
8.119996,13.31476,2.326353,-2.291211,-1.392705E-13,-1.153333,4.340331E-11
8.219998,13.27423,2.359983,-2.272865,-6.481291E-14,-0.6158376,5.448179E-11
8.320001,13.22495,2.405364,-2.249616,2.432E-12,-0.08383162,5.006261E-11
8.420003,13.16711,2.462112,-2.221423,4.64669E-12,0.4412659,5.050995E-11
8.520005,13.10094,2.529791,-2.188238,1.225819E-11,0.9580404,4.338065E-11
