Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
0.1,0.125,10.200,1.675,0.000,0.000,0.000
0.2,0.250,10.199,1.675,0.000,0.000,0.000
0.3,0.375,10.198,1.675,0.000,0.000,0.000
0.4,0.500,10.197,1.674,0.000,0.000,0.000
0.5,0.625,10.195,1.674,0.000,0.000,0.000
0.6,0.750,10.193,1.673,0.000,0.000,0.000
0.7,0.875,10.191,1.673,0.000,0.000,0.000
0.8,1.001,10.188,1.672,0.000,0.000,0.000
0.9,1.126,10.185,1.671,0.000,0.000,0.000
1.0,1.251,10.181,1.668,0.000,0.000,0.000
1.1,1.376,10.178,1.664,0.000,0.000,0.000
1.2,1.501,10.173,1.660,0.000,0.000,0.000
1.3,1.626,10.169,1.656,0.000,0.000,0.000
1.4,1.751,10.164,1.651,0.000,0.000,0.000
1.5,1.877,10.159,1.646,0.000,0.000,0.000
1.6,2.002,10.153,1.641,0.000,0.000,0.000
1.7,2.127,10.147,1.636,0.000,0.000,0.000
1.8,2.252,10.141,1.631,0.000,0.000,0.000
1.9,2.378,10.134,1.625,0.000,0.000,0.000
2.0,2.503,10.127,1.619,0.000,0.000,0.000
2.1,2.628,10.120,1.613,0.000,0.000,0.000
2.2,2.754,10.112,1.607,0.000,0.000,0.000
2.3,2.879,10.104,1.601,0.000,0.000,0.000
2.4,3.005,10.096,1
